"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_BH","significant"
"X23374_272.149_4.123_NA",-1.23048284749004,-0.410160949163345,0.820321898326691,-7.07682451231431,1.43199681342971e-09,63.335537710312,-1.57790828402774,-0.883057410952328,"Welch Two Sample t-test","two.sided",7.01871430064846e-09,"Significant"
"X16886_274.201_3.545_NA",-1.26966725991008,-0.423222419970027,0.846444839940055,-7.14212334106943,1.43961487143477e-09,59.9282292224276,-1.62527232215679,-0.914062197663374,"Welch Two Sample t-test","two.sided",7.05225129907595e-09,"Significant"
"X79204_281.174_10.086_NA",0.694342290071368,0.231447430023789,-0.462894860047578,6.55967837211965,1.44714313468371e-09,119.556205790231,0.484758632145646,0.903925947997089,"Welch Two Sample t-test","two.sided",7.08531253664206e-09,"Significant"
"X48887_430.295_6.396_NA",0.754876138061006,0.251625379353668,-0.503250758707337,6.38739183007695,1.44893197404507e-09,176.514328256362,0.521644170191349,0.988108105930662,"Welch Two Sample t-test","two.sided",7.09025269538093e-09,"Significant"
"X35319_252.123_5.133_NA",0.716508929042505,0.238836309680835,-0.47767261936167,6.44446051649165,1.45493250235524e-09,151.826773883349,0.496845033656767,0.936172824428243,"Welch Two Sample t-test","two.sided",7.11578607391814e-09,"Significant"
"X90507_663.453_12.345_NA;DG(20:4_18:0)",0.693828478141055,0.231276159380352,-0.462552318760703,6.55999978771247,1.4630976568514e-09,119.00001643596,0.484400166196024,0.903256790086086,"Welch Two Sample t-test","two.sided",7.15187306241555e-09,"Significant"
"X62238_253.107_8.029_NA",0.694252053833665,0.231417351277888,-0.462834702555776,6.55623833536599,1.46400007009505e-09,119.796153609122,0.484589972835063,0.903914134832266,"Welch Two Sample t-test","two.sided",7.15243881639127e-09,"Significant"
"X86563_414.357_11.14_NA",-1.27945542891533,-0.426485142971777,0.852970285943555,-7.15204699213948,1.48555566345862e-09,59.0788269175534,-1.63741070115961,-0.921500156671051,"Welch Two Sample t-test","two.sided",7.25385182178611e-09,"Significant"
"X88470_928.598_11.691_NA",-1.27940834517724,-0.426469448392412,0.852938896784823,-7.15106160864426,1.49205751158918e-09,59.0726005562245,-1.63740055593653,-0.921416134417938,"Welch Two Sample t-test","two.sided",7.28168915478736e-09,"Significant"
"X43281_444.186_5.817_NA",0.855574944640641,0.285191648213547,-0.570383296427094,6.44632311777394,1.49641197211773e-09,149.210881155612,0.593315704407735,1.11783418487355,"Welch Two Sample t-test","two.sided",7.29902234468582e-09,"Significant"
"X59316_307.153_7.704_NA",0.722751083005793,0.240917027668597,-0.481834055337195,6.41957269433496,1.50431654780031e-09,158.893151198663,0.500393913682309,0.945108252329276,"Welch Two Sample t-test","two.sided",7.33364399603237e-09,"Significant"
"X2388_237.123_1.088_NA",-1.12031946347007,-0.373439821156689,0.746879642313377,-6.87726777358205,1.5054198023511e-09,75.8564643613736,-1.44477649262132,-0.795862434318815,"Welch Two Sample t-test","two.sided",7.33508941209870e-09,"Significant"
"X25507_316.175_4.31_NA",-1.2623464343064,-0.420782144768801,0.841564289537601,-7.11895305448005,1.51782434912218e-09,60.4009227892141,-1.6169946696105,-0.907698199002302,"Welch Two Sample t-test","two.sided",7.38810682139503e-09,"Significant"
"X80903_381.3_10.405_NA;NCGC00347722-02!(2Z)-2-[(E)-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid",-1.177749087268,-0.392583029089333,0.785166058178666,-6.97507326198642,1.51792603853563e-09,68.5566387200212,-1.51463676699987,-0.840861407536125,"Welch Two Sample t-test","two.sided",7.38810682139503e-09,"Significant"
"X90929_800.603_12.531_DGCC (38:6);DGCC (40:7)",0.693667578523552,0.231222526174517,-0.462445052349035,6.54723404146628,1.52119910140804e-09,120.068855139923,0.483898766316297,0.903436390730807,"Welch Two Sample t-test","two.sided",7.40007609951947e-09,"Significant"
"X223_179.074_0.604_NA",0.705156705258594,0.235052235086198,-0.470104470172396,6.4665031215753,1.57250639129836e-09,139.404862559342,0.489555699747806,0.920757710769381,"Welch Two Sample t-test","two.sided",7.64557652924313e-09,"Significant"
"X72162_519.257_9.444_NA",0.719294199137626,0.239764733045875,-0.47952946609175,6.41574139647111,1.58371691409783e-09,156.494040675282,0.497842351803735,0.940746046471516,"Welch Two Sample t-test","two.sided",7.69596696043693e-09,"Significant"
"X58962_309.219_7.592_NA",0.692114781976819,0.230704927325606,-0.461409854651213,6.54181832994462,1.5999051506306e-09,119.003288621629,0.482623179463854,0.901606384489784,"Welch Two Sample t-test","two.sided",7.77047950295588e-09,"Significant"
