Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X81652_403.361_10.502_nan,-7.004195069242596,119.04377160769191,two-sided,1.5918057847883004e-10,[-0.95 -0.53],0.78204936169877,1.539e+08,0.998458338828414,8.928253050768185e-10,True
X70619_331.002_9.266_nan,7.709030272982728,59.61076941336976,two-sided,1.5992268106897416e-10,[0.99 1.69],1.715324210759589,7.278e+09,1.0,8.964346586184422e-10,True
X59429_398.217_7.619_nan,-6.858505004656442,153.16359836183207,two-sided,1.6103216225169928e-10,[-0.98 -0.54],0.8101818015165293,7.127e+07,0.999144404339022,9.020976088678065e-10,True
X3551_266.102_1.685_nan,7.136578760628911,98.87613870534099,two-sided,1.6179113181995558e-10,[0.76 1.35],1.2094632251654132,3.124e+08,0.9999999918664744,9.057912379969433e-10,True
X81526_279.159_10.482_Spectral Match to Dibutyl phthalate from NIST14,-6.788675146758673,177.95208983620617,two-sided,1.6270123512620658e-10,[-1.05 -0.58],0.8781773871705438,4.945e+07,0.9998173357344762,9.103259260107509e-10,True
X34455_610.394_5.062_nan,-6.9156954645409305,136.61418684768054,two-sided,1.634267795718092e-10,[-0.96 -0.53],0.7940251120706493,9.63e+07,0.9987958573409114,9.138230503486404e-10,True
X39414_230.19_5.489_nan,-6.788896049782868,177.26233944271107,two-sided,1.639574689753852e-10,[-1.06 -0.58],0.8884201031743723,4.951e+07,0.9998573895067259,9.162269870462215e-10,True
X12677_353.17_3.127_nan,7.081129487905374,105.33603278904077,two-sided,1.6650389522612706e-10,[0.74 1.32],1.169915734416515,2.32e+08,0.9999999664739989,9.298853902923509e-10,True
"X70662_321.242_9.287_nan;(4E,8E)-7-hydroxy-10-(hydroxymethyl)-4,8,11,15-tetramethylbicyclo[11.2.0]pentadeca-4,8,14-trien-6-one",7.710316268498478,59.07676823303007,two-sided,1.6793125781734404e-10,[1.   1.69],1.7272401736906928,7.33e+09,1.0,9.372811516729848e-10,True
X77658_367.247_9.985_nan,7.610008972317646,63.21293510772656,two-sided,1.6845721035900645e-10,[0.95 1.63],1.6242673694151053,4.181e+09,0.9999999999999999,9.396398506650838e-10,True
X44459_339.144_5.871_nan,-6.781197224705998,177.93704781201117,two-sided,1.6956740072895293e-10,[-1.05 -0.58],0.8777110076979353,4.756e+07,0.9998152825508182,9.452524876932188e-10,True
X77422_407.279_10.179_nan,6.780086555844387,177.97509964095175,two-sided,1.7052319649654148e-10,[0.58 1.05],0.8761133345577048,4.729e+07,0.9998080842540071,9.499981020505853e-10,True
